Breed,Year,Count
Afghan Hound,1926,4
Airedale Terrier,1926,1707
Basset Hound,1926,29
Beagle,1926,2146
Bedlington Terrier,1926,10
Belgian Sheepdog,1926,35
Bloodhound,1926,109
Borzoi,1926,482
Boston Terrier,1926,11442
Boxer,1926,18
Brussels Griffon,1926,34
Bull Terrier,1926,251
Bulldog,1926,1235
Cairn Terrier,1926,208
Chihuahua,1926,52
Chow Chow,1926,2965
Collie,1926,2303
Dachshund,1926,48
Dalmatian,1926,75
Dandie Dinmont Terrier,1926,9
Doberman Pinscher,1926,579
English Toy Spaniel (Blenheim and Prince Charles),1926,40
Fox Terrier,1926,2690
American Foxhound,1926,4
French Bulldog,1926,505
German Shepherd,1926,21596
Great Dane,1926,427
Greyhound,1926,11
Irish Terrier,1926,735
Irish Wolfhound,1926,35
Italian Greyhound,1926,21
Kerry Blue Terrier,1926,67
Maltese,1926,23
Manchester Terrier,1926,173
Mastiff,1926,1
Miniature Schnauzer,1926,13
Newfoundland,1926,200
Norwegian Elkhound,1926,24
Old English Sheepdog,1926,58
Otterhound,1926,2
Papillon,1926,2
Pekingese,1926,2424
Pointer,1926,70
Pomeranian,1926,1148
Poodle,1926,19
Pug,1926,61
Chesapeake Bay Retriever,1926,33
Curly-Coated Retriever,1926,31
Saint Bernard,1926,201
Samoyed,1926,105
Schipperke,1926,43
Scottish Deerhound,1926,3
Scottish Terrier,1926,804
Sealyham Terrier,1926,312
English Setter,1926,343
Gordon Setter,1926,95
Irish Setter,1926,443
Shetland Sheepdog,1926,3
Clumber Spaniel,1926,8
Spaniel (All Cockers),1926,1512
English Springer Spaniel,1926,1034
Irish Water Spaniel,1926,29
Standard Schnauzer,1926,231
Welsh Terrier,1926,34
West Highland White Terrier,1926,54
Whippet,1926,28
Wirehaired Pointing Griffon,1926,24
Yorkshire Terrier,1926,26
Eskimo,1926,10
Afghan Hound,1927,2
Airedale Terrier,1927,933
Basset Hound,1927,13
Beagle,1927,1871
Bedlington Terrier,1927,12
Belgian Sheepdog,1927,38
Bloodhound,1927,61
Borzoi,1927,406
Boston Terrier,1927,11411
Boxer,1927,12
Brussels Griffon,1927,26
Bull Terrier,1927,248
Bulldog,1927,1237
Cairn Terrier,1927,217
Chihuahua,1927,59
Chow Chow,1927,3476
Collie,1927,2963
Dachshund,1927,61
Dalmatian,1927,81
Dandie Dinmont Terrier,1927,5
Doberman Pinscher,1927,530
English Toy Spaniel (Blenheim and Prince Charles),1927,49
Fox Terrier,1927,3102
American Foxhound,1927,4
French Bulldog,1927,390
German Shepherd,1927,19768
Great Dane,1927,443
Greyhound,1927,7
Irish Terrier,1927,700
Irish Wolfhound,1927,67
Italian Greyhound,1927,2
Japanese Chin,1927,8
Kerry Blue Terrier,1927,64
Maltese,1927,3
Manchester Terrier,1927,169
Mastiff,1927,1
Miniature Schnauzer,1927,49
Newfoundland,1927,163
Norwegian Elkhound,1927,27
Old English Sheepdog,1927,45
Otterhound,1927,5
Papillon,1927,8
Pekingese,1927,2625
Pointer,1927,67
Pomeranian,1927,1173
Poodle,1927,18
Pug,1927,25
Chesapeake Bay Retriever,1927,51
Curly-Coated Retriever,1927,23
Saint Bernard,1927,231
Samoyed,1927,115
Schipperke,1927,47
Scottish Deerhound,1927,4
Scottish Terrier,1927,895
Sealyham Terrier,1927,334
English Setter,1927,339
Gordon Setter,1927,61
Irish Setter,1927,549
Shetland Sheepdog,1927,6
Skye Terrier,1927,6
Spaniel (All Cockers),1927,1656
English Springer Spaniel,1927,1186
Irish Water Spaniel,1927,27
Standard Schnauzer,1927,261
Welsh Terrier,1927,36
West Highland White Terrier,1927,43
Whippet,1927,32
Wirehaired Pointing Griffon,1927,4
Yorkshire Terrier,1927,44
Eskimo,1927,4
