Breed,Year,Count
Afghan Hound,1926,4.0
Airedale Terrier,1926,1707.0
Basset Hound,1926,29.0
Beagle,1926,2146.0
Bedlington Terrier,1926,10.0
Belgian Sheepdog,1926,35.0
Bloodhound,1926,109.0
Borzoi,1926,482.0
Boston Terrier,1926,11442.0
Boxer,1926,18.0
Brussels Griffon,1926,34.0
Bull Terrier,1926,251.0
Bulldog,1926,1235.0
Cairn Terrier,1926,208.0
Chihuahua,1926,52.0
Chow Chow,1926,2965.0
Collie,1926,2303.0
Daschund-XX (smooth),1926,48.0
Dachshund,1926,48.0
Dalmatian,1926,75.0
Dandie Dinmont Terrier,1926,9.0
Doberman Pinscher,1926,579.0
English Toy Spaniel (Blenheim and Prince Charles),1926,40.0
English Toy Spaniel (All),1926,40.0
Fox Terrier (Smooth),1926,361.0
Fox Terrier (Wire),1926,2329.0
Fox Terrier,1926,2690.0
American Foxhound,1926,4.0
French Bulldog,1926,505.0
German Shepherd,1926,21596.0
Great Dane,1926,427.0
Greyhound,1926,11.0
Irish Terrier,1926,735.0
Irish Wolfhound,1926,35.0
Italian Greyhound,1926,21.0
Kerry Blue Terrier,1926,67.0
Maltese,1926,23.0
Manchester Terrier-XX,1926,35.0
Manchester Terrier (Toy),1926,138.0
Manchester Terrier,1926,173.0
Mastiff,1926,1.0
Miniature Schnauzer,1926,13.0
Newfoundland,1926,200.0
Norwegian Elkhound,1926,24.0
Old English Sheepdog,1926,58.0
Otterhound,1926,2.0
Papillon,1926,2.0
Pekingese,1926,2424.0
Pointer,1926,70.0
Pomeranian,1926,1148.0
Poodle (miniature),1926,9.0
Poodle (toy),1926,10.0
Poodle,1926,19.0
Pug,1926,61.0
Chesapeake Bay Retriever,1926,33.0
Curly-Coated Retriever,1926,31.0
Saint Bernard,1926,201.0
Samoyed,1926,105.0
Schipperke,1926,43.0
Scottish Deerhound,1926,3.0
Scottish Terrier,1926,804.0
Sealyham Terrier,1926,312.0
English Setter,1926,343.0
Gordon Setter,1926,95.0
Irish Setter,1926,443.0
Shetland Sheepdog,1926,3.0
Clumber Spaniel,1926,8.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1926,1512.0
Spaniel (All Cockers),1926,1512.0
English Springer Spaniel,1926,1034.0
Irish Water Spaniel,1926,29.0
Standard Schnauzer,1926,231.0
Welsh Terrier,1926,34.0
West Highland White Terrier,1926,54.0
Whippet,1926,28.0
Wirehaired Pointing Griffon,1926,24.0
Yorkshire Terrier,1926,26.0
Eskimo,1926,10.0
Afghan Hound,1927,2.0
Airedale Terrier,1927,933.0
Basset Hound,1927,13.0
Beagle,1927,1871.0
Bedlington Terrier,1927,12.0
Belgian Sheepdog,1927,38.0
Bloodhound,1927,61.0
Borzoi,1927,406.0
Boston Terrier,1927,11411.0
Boxer,1927,12.0
Brussels Griffon,1927,26.0
Bull Terrier,1927,248.0
Bulldog,1927,1237.0
Cairn Terrier,1927,217.0
Chihuahua,1927,59.0
Chow Chow,1927,3476.0
Collie,1927,2963.0
Daschund-XX (smooth),1927,61.0
Dachshund,1927,61.0
Dalmatian,1927,81.0
Dandie Dinmont Terrier,1927,5.0
Doberman Pinscher,1927,530.0
English Toy Spaniel (Blenheim and Prince Charles),1927,49.0
English Toy Spaniel (All),1927,49.0
Fox Terrier (Smooth),1927,364.0
Fox Terrier (Wire),1927,2738.0
Fox Terrier,1927,3102.0
American Foxhound,1927,4.0
French Bulldog,1927,390.0
